exp,src,dst,number_of_packets,packet_size,time
32,0,1,100,400000,0.003481
33,0,1,100,400000,0.003477
34,0,1,100,400000,0.003482
35,0,1,100,400000,0.003475
36,0,1,100,400000,0.003480
37,0,1,100,400000,0.003478
38,0,1,100,400000,0.003476
39,0,1,100,400000,0.003481
40,0,1,100,400000,0.003477
41,0,1,100,400000,0.003478
42,0,1,100,400000,0.003477
43,0,1,100,400000,0.003479
44,0,1,100,400000,0.003476
45,0,1,100,400000,0.003479
46,0,1,100,400000,0.003476
47,0,1,100,400000,0.003564
48,0,1,100,400000,0.003521
49,0,1,100,400000,0.003481
50,0,1,100,400000,0.003477
51,0,1,100,400000,0.003478
52,0,1,100,400000,0.003477
53,0,1,100,400000,0.003481
54,0,1,100,400000,0.003478
55,0,1,100,400000,0.003478
56,0,1,100,400000,0.003479
57,0,1,100,400000,0.003497
58,0,1,100,400000,0.003481
59,0,1,100,400000,0.003477
60,0,1,100,400000,0.003478
61,0,1,100,400000,0.003478
62,0,1,100,400000,0.003478
63,0,1,100,400000,0.003480
64,0,1,100,400000,0.003479
65,0,1,100,400000,0.003479
66,0,1,100,400000,0.003477
67,0,1,100,400000,0.003480
68,0,1,100,400000,0.003479
69,0,1,100,400000,0.003500
70,0,1,100,400000,0.003478
71,0,1,100,400000,0.003480
72,0,1,100,400000,0.003478
73,0,1,100,400000,0.003479
74,0,1,100,400000,0.003476
75,0,1,100,400000,0.003478
76,0,1,100,400000,0.003481
77,0,1,100,400000,0.003476
78,0,1,100,400000,0.003481
79,0,1,100,400000,0.003477
80,0,1,100,400000,0.003479
81,0,1,100,400000,0.003477
82,0,1,100,400000,0.003715
83,0,1,100,400000,0.003525
84,0,1,100,400000,0.003452
85,0,1,100,400000,0.003531
86,0,1,100,400000,0.003476
87,0,1,100,400000,0.003479
88,0,1,100,400000,0.003478
89,0,1,100,400000,0.003481
90,0,1,100,400000,0.003478
91,0,1,100,400000,0.003478
92,0,1,100,400000,0.003478
93,0,1,100,400000,0.003479
94,0,1,100,400000,0.003477
95,0,1,100,400000,0.003475
96,0,1,100,400000,0.003477
97,0,1,100,400000,0.003478
98,0,1,100,400000,0.003478
99,0,1,100,400000,0.003478
